date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths,year,month,day,time
1910-01-08 14:49:00,China,35.0,122.0,0.0,6.8,,0,0,1,0,0,1910,1,8,14:49:00
1910-02-18 05:09:00,Greece,36.0,24.5,150.0,6.9,,0,0,6,0,0,1910,2,18,05:09:00
1910-04-12 00:22:00,Japan,25.0,123.0,200.0,7.6,,0,0,20,0,0,1910,4,12,00:22:00
1910-06-24 13:27:00,Algeria,36.1,3.4,33.0,6.4,,0,0,81,0,0,1910,6,24,13:27:00
1911-01-03 23:25:00,Kazakhstan,43.5,77.5,0.0,7.8,,0,0,450,0,0,1911,1,3,23:25:00
1911-02-18 18:41:00,Kyrgyzstan,40.0,73.0,0.0,7.2,landslide,0,0,90,0,0,1911,2,18,18:41:00
1911-04-18 18:14:00,Iran,32.0,56.0,50.0,6.7,,0,0,700,0,0,1911,4,18,18:14:00
1911-06-07 11:02:00,Mexico,17.5,-102.5,0.0,7.6,,0,0,1300,0,0,1911,6,7,11:02:00
1911-06-15 14:26:00,Japan,28.0,130.0,90.0,8.1,tsunami,0,0,12,0,0,1911,6,15,14:26:00
1912-01-24 16:23:00,Greece,38.0,20.5,60.0,6.8,,0,0,0,0,0,1912,1,24,16:23:00
1912-05-06 19:00:00,Iceland,64.0,-20.0,0.0,7.0,,0,0,1,0,0,1912,5,6,19:00:00
1912-05-23 02:24:00,Burma,21.0,97.0,0.0,7.7,,0,0,0,0,0,1912,5,23,02:24:00
1912-08-09 01:29:00,Turkey,40.5,27.0,0.0,7.6,,0,0,2836,923,0,1912,8,9,01:29:00
1912-11-19 13:55:00,Mexico,19.83,-99.92,15.0,6.7,,0,0,0,0,164,1912,11,19,13:55:00
1913-03-14 08:45:00,Indonesia,4.5,126.5,0.0,7.9,tsunami,0,0,0,0,0,1913,3,14,08:45:00
1913-06-14 09:33:00,Bulgaria,43.5,25.5,0.0,6.8,,0,0,500,0,0,1913,6,14,09:33:00
1913-08-06 22:14:00,Peru,-17.0,-74.0,0.0,7.8,tsunami,0,0,0,0,0,1913,8,6,22:14:00
1913-11-04 21:33:00,Peru,-14.2,-72.9,10.0,6.3,,0,0,150,0,0,1913,11,4,21:33:00
1913-12-21 15:37:00,China,24.5,102.0,0.0,7.2,,0,0,1314,0,0,1913,12,21,15:37:00
1914-01-12 09:28:00,Japan,31.6,130.6,5.0,6.7,tsunami,0,0,35,0,0,1914,1,12,09:28:00
1914-03-14 20:00:00,Japan,39.5,140.4,5.0,7.0,,0,0,94,0,0,1914,3,14,20:00:00
1914-05-08 18:01:00,Italy,37.7,15.2,,4.9,,0,0,69,0,0,1914,5,8,18:01:00
1914-05-26 14:22:00,Indonesia,-2.0,137.0,0.0,7.9,tsunami,0,0,0,0,0,1914,5,26,14:22:00
1914-06-25 19:07:00,Indonesia,-4.5,102.5,0.0,7.6,,0,0,0,20,0,1914,6,25,19:07:00
1914-08-04 22:41:00,China,43.5,91.5,0.0,7.2,,0,0,0,0,0,1914,8,4,22:41:00
1914-10-03 22:06:00,Turkey,37.5,32.5,0.0,7.1,,0,0,4000,0,0,1914,10,3,22:06:00
1915-01-13 06:52:00,Italy,42.0,13.5,0.0,6.9,,0,0,32610,29980,0,1915,1,13,06:52:00
1915-03-17 18:45:00,Japan,42.1,143.6,35.0,7.2,,0,0,2,0,0,1915,3,17,18:45:00
1915-06-23 04:56:00,United States,32.8,-115.5,,6.2,,0,0,6,0,0,1915,6,23,04:56:00
1915-09-07 01:20:00,El Salvador,14.0,-89.0,80.0,7.4,,0,0,7,0,0,1915,9,7,01:20:00
1915-12-03 02:39:00,China,29.5,91.5,0.0,7.0,,0,0,170,0,0,1915,12,3,02:39:00
1916-08-28 07:27:00,Taiwan,23.9,120.5,5.0,7.2,,0,0,16,0,0,1916,8,28,07:27:00
