date,year,month,day,time,country,latitude,longitude,depth,magnitude,secondary_effects,deaths,continent,log_deaths
1966-02-05 15:12:00,1966,2,5,15:12:00,China,26.16,103.171,9.2,5.6,,371,Asia,5.916202062607435
1966-03-07 21:29:00,1966,3,7,21:29:00,China,37.38800000000001,114.963,7.7,6.6,,0,Asia,-inf
1966-03-22 08:11:00,1966,3,22,08:11:00,China,37.551,114.991,17.7,5.6,,8064,Asia,8.99516499031115
1966-09-28 14:00:00,1966,9,28,14:00:00,China,27.457,100.089,5.5,5.8,,32,Asia,3.4657359027997265
1967-03-27 08:58:00,1967,3,27,08:58:00,China,38.516,116.601,26.8,5.5,,9,Asia,2.1972245773362196
1967-08-30 04:22:00,1967,8,30,04:22:00,China,31.631,100.232,8.1,7.0,,39,Asia,3.6635616461296463
1969-02-11 22:08:00,1969,2,11,22:08:00,China,41.426,79.23899999999998,13.1,7.1,,2,Asia,0.6931471805599453
1969-07-18 05:24:00,1969,7,18,05:24:00,China,38.421,119.453,12.0,7.2,,10,Asia,2.302585092994046
1969-07-25 22:49:00,1969,7,25,22:49:00,China,21.612,111.809,3.4,5.9,,3000,Asia,8.006367567650246
1970-01-04 17:00:00,1970,1,4,17:00:00,China,24.147,102.462,14.0,7.2,,15621,Asia,9.65637144183101
1971-04-03 04:49:00,1971,4,3,04:49:00,China,32.178000000000004,95.028,15.0,5.6,,1,Asia,0.0
1971-04-28 15:32:00,1971,4,28,15:32:00,China,22.95300000000001,100.993,8.0,6.3,,2,Asia,0.6931471805599453
1971-07-26 01:48:00,1971,7,26,01:48:00,China,39.848,77.24600000000002,41.1,5.8,,1,Asia,0.0
1971-08-16 04:58:00,1971,8,16,04:58:00,China,28.879,103.672,22.7,5.5,,10,Asia,2.302585092994046
1973-02-06 10:37:00,1973,2,6,10:37:00,China,31.353,100.545,10.0,7.7,,2199,Asia,7.695757990554761
1973-08-16 03:58:00,1973,8,16,03:58:00,China,23.003,101.078,6.4,6.4,,1,Asia,0.0
1974-04-22 00:29:00,1974,4,22,00:29:00,China,31.533,119.28,14.2,5.5,,8,Asia,2.0794415416798357
1974-05-10 19:25:00,1974,5,10,19:25:00,China,28.195,104.007,10.2,6.8,,1541,Asia,7.340186835320115
1975-02-04 11:36:00,1975,2,4,11:36:00,China,40.667,122.646,8.0,7.0,,10000,Asia,9.210340371976184
1976-04-05 16:54:00,1976,4,5,16:54:00,China,40.23,112.222,7.0,5.5,,28,Asia,3.332204510175204
1976-05-29 12:23:00,1976,5,29,12:23:00,China,24.501,98.93,6.5,6.7,,98,Asia,4.584967478670572
1976-05-29 14:00:00,1976,5,29,14:00:00,China,24.581,98.61,7.6,6.6,,0,Asia,-inf
1976-07-21 15:10:00,1976,7,21,15:10:00,China,24.768,98.667,4.3,6.1,,11,Asia,2.3978952727983707
1976-07-27 19:42:00,1976,7,27,19:42:00,China,39.605,117.888,16.7,7.6,,655237,Asia,13.392752281233024
1976-07-28 10:45:00,1976,7,28,10:45:00,China,39.723,118.359,18.2,7.0,,0,Asia,-inf
1976-08-16 14:06:00,1976,8,16,14:06:00,China,32.753,104.088,10.7,6.7,,0,Asia,-inf
1976-08-23 03:30:00,1976,8,23,03:30:00,China,32.481,104.182,7.9,6.4,,41,Asia,3.713572066704308
1976-11-06 18:04:00,1976,11,6,18:04:00,China,27.554,101.021,7.7,6.3,,33,Asia,3.4965075614664802
