state,county,year,pop_estimate
Tennessee,Coffee County,2015,54093
Tennessee,Coffee County,2016,54537
Tennessee,Coffee County,2017,55016
Tennessee,Coffee County,2018,55877
Tennessee,Coffee County,2019,56520
Tennessee,Crockett County,2010,14588
Tennessee,Crockett County,2011,14560
Tennessee,Crockett County,2012,14610
Tennessee,Crockett County,2013,14610
Tennessee,Crockett County,2014,14652
Tennessee,Crockett County,2015,14586
Tennessee,Crockett County,2016,14448
Tennessee,Crockett County,2017,14436
Tennessee,Crockett County,2018,14296
Tennessee,Crockett County,2019,14230
Tennessee,Cumberland County,2010,56193
Tennessee,Cumberland County,2011,56527
Tennessee,Cumberland County,2012,56990
Tennessee,Cumberland County,2013,57438
Tennessee,Cumberland County,2014,57924
Tennessee,Cumberland County,2015,58217
Tennessee,Cumberland County,2016,58580
Tennessee,Cumberland County,2017,59023
Tennessee,Cumberland County,2018,59738
Tennessee,Cumberland County,2019,60520
Tennessee,Davidson County,2010,627746
Tennessee,Davidson County,2011,635918
Tennessee,Davidson County,2012,649344
Tennessee,Davidson County,2013,660179
Tennessee,Davidson County,2014,669611
Tennessee,Davidson County,2015,679793
Tennessee,Davidson County,2016,685829
Tennessee,Davidson County,2017,687159
Tennessee,Davidson County,2018,690516
Tennessee,Davidson County,2019,694144
Tennessee,Decatur County,2010,11717
Tennessee,Decatur County,2011,11682
Tennessee,Decatur County,2012,11634
Tennessee,Decatur County,2013,11696
Tennessee,Decatur County,2014,11685
Tennessee,Decatur County,2015,11600
Tennessee,Decatur County,2016,11735
Tennessee,Decatur County,2017,11732
Tennessee,Decatur County,2018,11699
Tennessee,Decatur County,2019,11663
Tennessee,DeKalb County,2010,18695
Tennessee,DeKalb County,2011,18754
Tennessee,DeKalb County,2012,18869
Tennessee,DeKalb County,2013,19150
Tennessee,DeKalb County,2014,19227
Tennessee,DeKalb County,2015,19292
Tennessee,DeKalb County,2016,19444
Tennessee,DeKalb County,2017,19876
Tennessee,DeKalb County,2018,20133
Tennessee,DeKalb County,2019,20490
Tennessee,Dickson County,2010,49684
Tennessee,Dickson County,2011,49982
Tennessee,Dickson County,2012,50214
Tennessee,Dickson County,2013,50164
Tennessee,Dickson County,2014,50465
Tennessee,Dickson County,2015,51334
Tennessee,Dickson County,2016,51900
Tennessee,Dickson County,2017,52774
Tennessee,Dickson County,2018,53446
Tennessee,Dickson County,2019,53948
Tennessee,Dyer County,2010,38318
Tennessee,Dyer County,2011,38118
Tennessee,Dyer County,2012,38188
Tennessee,Dyer County,2013,38093
Tennessee,Dyer County,2014,37807
Tennessee,Dyer County,2015,37753
Tennessee,Dyer County,2016,37542
Tennessee,Dyer County,2017,37339
Tennessee,Dyer County,2018,37286
Tennessee,Dyer County,2019,37159
Tennessee,Fayette County,2010,38427
Tennessee,Fayette County,2011,38570
Tennessee,Fayette County,2012,38686
Tennessee,Fayette County,2013,38812
Tennessee,Fayette County,2014,39123
Tennessee,Fayette County,2015,39280
Tennessee,Fayette County,2016,39703
Tennessee,Fayette County,2017,40150
Tennessee,Fayette County,2018,40556
Tennessee,Fayette County,2019,41133
Tennessee,Fentress County,2010,17923
Tennessee,Fentress County,2011,17997
Tennessee,Fentress County,2012,17916
Tennessee,Fentress County,2013,17904
Tennessee,Fentress County,2014,17849
Tennessee,Fentress County,2015,17965
Tennessee,Fentress County,2016,18040
Tennessee,Fentress County,2017,18214
Tennessee,Fentress County,2018,18322
Tennessee,Fentress County,2019,18523
Tennessee,Franklin County,2010,40959
Tennessee,Franklin County,2011,40857
Tennessee,Franklin County,2012,40688
Tennessee,Franklin County,2013,41213
Tennessee,Franklin County,2014,41288
Tennessee,Franklin County,2015,41343
Tennessee,Franklin County,2016,41518
Tennessee,Franklin County,2017,41623
Tennessee,Franklin County,2018,41935
Tennessee,Franklin County,2019,42208
Tennessee,Gibson County,2010,49731
Tennessee,Gibson County,2011,49898
Tennessee,Gibson County,2012,49666
Tennessee,Gibson County,2013,49380
Tennessee,Gibson County,2014,49436
Tennessee,Gibson County,2015,49329
Tennessee,Gibson County,2016,49250
Tennessee,Gibson County,2017,49255
Tennessee,Gibson County,2018,49171
Tennessee,Gibson County,2019,49133
Tennessee,Giles County,2010,29406
Tennessee,Giles County,2011,29284
Tennessee,Giles County,2012,28969
Tennessee,Giles County,2013,28801
Tennessee,Giles County,2014,28819
Tennessee,Giles County,2015,28973
Tennessee,Giles County,2016,29165
Tennessee,Giles County,2017,29379
Tennessee,Giles County,2018,29446
Tennessee,Giles County,2019,29464
Tennessee,Grainger County,2010,22721
Tennessee,Grainger County,2011,22753
Tennessee,Grainger County,2012,22689
Tennessee,Grainger County,2013,22739
Tennessee,Grainger County,2014,22862
Tennessee,Grainger County,2015,22848
Tennessee,Grainger County,2016,23095
Tennessee,Grainger County,2017,23106
Tennessee,Grainger County,2018,23137
Tennessee,Grainger County,2019,23320
Tennessee,Greene County,2010,68834
Tennessee,Greene County,2011,69173
Tennessee,Greene County,2012,68760
Tennessee,Greene County,2013,68336
Tennessee,Greene County,2014,68464
Tennessee,Greene County,2015,68586
Tennessee,Greene County,2016,68529
Tennessee,Greene County,2017,68821
Tennessee,Greene County,2018,69164
Tennessee,Greene County,2019,69069
Tennessee,Grundy County,2010,13725
Tennessee,Grundy County,2011,13588
Tennessee,Grundy County,2012,13583
Tennessee,Grundy County,2013,13449
Tennessee,Grundy County,2014,13340
Tennessee,Grundy County,2015,13337
Tennessee,Grundy County,2016,13276
Tennessee,Grundy County,2017,13332
Tennessee,Grundy County,2018,13348
Tennessee,Grundy County,2019,13427
