state,county,year,pop_estimate
Tennessee,Sevier County,2011,91192
Tennessee,Sevier County,2012,92362
Tennessee,Sevier County,2013,93477
Tennessee,Sevier County,2014,94660
Tennessee,Sevier County,2015,95417
Tennessee,Sevier County,2016,96470
Tennessee,Sevier County,2017,97307
Tennessee,Sevier County,2018,97895
Tennessee,Sevier County,2019,98250
Tennessee,Shelby County,2010,928447
Tennessee,Shelby County,2011,933186
Tennessee,Shelby County,2012,939168
Tennessee,Shelby County,2013,938363
Tennessee,Shelby County,2014,937500
Tennessee,Shelby County,2015,937067
Tennessee,Shelby County,2016,936021
Tennessee,Shelby County,2017,935251
Tennessee,Shelby County,2018,936365
Tennessee,Shelby County,2019,937166
Tennessee,Smith County,2010,19126
Tennessee,Smith County,2011,19210
Tennessee,Smith County,2012,19179
Tennessee,Smith County,2013,19117
Tennessee,Smith County,2014,19097
Tennessee,Smith County,2015,19308
Tennessee,Smith County,2016,19526
Tennessee,Smith County,2017,19732
Tennessee,Smith County,2018,19979
Tennessee,Smith County,2019,20157
Tennessee,Stewart County,2010,13348
Tennessee,Stewart County,2011,13223
Tennessee,Stewart County,2012,13309
Tennessee,Stewart County,2013,13277
Tennessee,Stewart County,2014,13210
Tennessee,Stewart County,2015,13187
Tennessee,Stewart County,2016,13190
Tennessee,Stewart County,2017,13422
Tennessee,Stewart County,2018,13619
Tennessee,Stewart County,2019,13715
Tennessee,Sullivan County,2010,156749
Tennessee,Sullivan County,2011,156876
Tennessee,Sullivan County,2012,156322
Tennessee,Sullivan County,2013,156185
Tennessee,Sullivan County,2014,156404
Tennessee,Sullivan County,2015,156199
Tennessee,Sullivan County,2016,156182
Tennessee,Sullivan County,2017,156924
Tennessee,Sullivan County,2018,157599
Tennessee,Sullivan County,2019,158348
Tennessee,Sumner County,2010,161214
Tennessee,Sumner County,2011,163680
Tennessee,Sumner County,2012,165967
Tennessee,Sumner County,2013,168754
Tennessee,Sumner County,2014,172269
Tennessee,Sumner County,2015,175326
Tennessee,Sumner County,2016,179332
Tennessee,Sumner County,2017,183756
Tennessee,Sumner County,2018,187490
Tennessee,Sumner County,2019,191283
Tennessee,Tipton County,2010,61065
Tennessee,Tipton County,2011,61305
Tennessee,Tipton County,2012,61524
Tennessee,Tipton County,2013,61572
Tennessee,Tipton County,2014,61596
Tennessee,Tipton County,2015,61533
Tennessee,Tipton County,2016,61223
Tennessee,Tipton County,2017,61305
Tennessee,Tipton County,2018,61576
Tennessee,Tipton County,2019,61599
Tennessee,Trousdale County,2010,7874
Tennessee,Trousdale County,2011,7815
Tennessee,Trousdale County,2012,7794
Tennessee,Trousdale County,2013,7810
Tennessee,Trousdale County,2014,7998
Tennessee,Trousdale County,2015,8051
Tennessee,Trousdale County,2016,9955
Tennessee,Trousdale County,2017,10831
Tennessee,Trousdale County,2018,11033
Tennessee,Trousdale County,2019,11284
Tennessee,Unicoi County,2010,18284
Tennessee,Unicoi County,2011,18302
Tennessee,Unicoi County,2012,18253
Tennessee,Unicoi County,2013,18095
Tennessee,Unicoi County,2014,17951
Tennessee,Unicoi County,2015,17819
Tennessee,Unicoi County,2016,17737
Tennessee,Unicoi County,2017,17796
Tennessee,Unicoi County,2018,17822
Tennessee,Unicoi County,2019,17883
Tennessee,Union County,2010,19116
Tennessee,Union County,2011,19191
Tennessee,Union County,2012,19105
Tennessee,Union County,2013,19063
Tennessee,Union County,2014,18991
Tennessee,Union County,2015,19159
Tennessee,Union County,2016,19219
Tennessee,Union County,2017,19399
Tennessee,Union County,2018,19689
Tennessee,Union County,2019,19972
Tennessee,Van Buren County,2010,5569
Tennessee,Van Buren County,2011,5555
Tennessee,Van Buren County,2012,5653
Tennessee,Van Buren County,2013,5574
Tennessee,Van Buren County,2014,5696
Tennessee,Van Buren County,2015,5695
Tennessee,Van Buren County,2016,5721
Tennessee,Van Buren County,2017,5747
Tennessee,Van Buren County,2018,5763
Tennessee,Van Buren County,2019,5872
Tennessee,Warren County,2010,39858
Tennessee,Warren County,2011,39907
Tennessee,Warren County,2012,39744
Tennessee,Warren County,2013,39875
Tennessee,Warren County,2014,39983
Tennessee,Warren County,2015,40262
Tennessee,Warren County,2016,40428
Tennessee,Warren County,2017,40717
Tennessee,Warren County,2018,40826
Tennessee,Warren County,2019,41277
Tennessee,Washington County,2010,123384
Tennessee,Washington County,2011,123887
Tennessee,Washington County,2012,124873
Tennessee,Washington County,2013,125397
Tennessee,Washington County,2014,125745
Tennessee,Washington County,2015,126137
Tennessee,Washington County,2016,127247
Tennessee,Washington County,2017,127603
Tennessee,Washington County,2018,128661
Tennessee,Washington County,2019,129375
Tennessee,Wayne County,2010,16985
Tennessee,Wayne County,2011,17000
Tennessee,Wayne County,2012,16973
Tennessee,Wayne County,2013,16920
Tennessee,Wayne County,2014,16860
Tennessee,Wayne County,2015,16767
Tennessee,Wayne County,2016,16747
Tennessee,Wayne County,2017,16641
Tennessee,Wayne County,2018,16635
Tennessee,Wayne County,2019,16673
Tennessee,Weakley County,2010,35044
Tennessee,Weakley County,2011,34857
Tennessee,Weakley County,2012,34554
Tennessee,Weakley County,2013,34155
Tennessee,Weakley County,2014,34001
Tennessee,Weakley County,2015,33872
Tennessee,Weakley County,2016,33610
Tennessee,Weakley County,2017,33325
Tennessee,Weakley County,2018,33413
Tennessee,Weakley County,2019,33328
Tennessee,White County,2010,25828
Tennessee,White County,2011,26050
Tennessee,White County,2012,26031
Tennessee,White County,2013,26193
Tennessee,White County,2014,26264
Tennessee,White County,2015,26342
Tennessee,White County,2016,26463
Tennessee,White County,2017,26764
Tennessee,White County,2018,27086
Tennessee,White County,2019,27345
Tennessee,Williamson County,2010,184143
Tennessee,Williamson County,2011,188501
Tennessee,Williamson County,2012,193211
Tennessee,Williamson County,2013,199143
Tennessee,Williamson County,2014,205334
Tennessee,Williamson County,2015,211605
Tennessee,Williamson County,2016,218903
Tennessee,Williamson County,2017,226048
Tennessee,Williamson County,2018,231978
Tennessee,Williamson County,2019,238412
Tennessee,Wilson County,2010,114677
Tennessee,Wilson County,2011,116800
Tennessee,Wilson County,2012,119143
Tennessee,Wilson County,2013,121990
Tennessee,Wilson County,2014,125197
Tennessee,Wilson County,2015,128536
Tennessee,Wilson County,2016,132494
Tennessee,Wilson County,2017,136691
Tennessee,Wilson County,2018,140954
Tennessee,Wilson County,2019,144657
