date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths
1911-06-15 14:26,Japan,28.0,130.0,90.0,8.1 mb,T,0,0,12,0,0
1912-01-24 16:23,Greece,38.0,20.5,60.0,6.8 Muk,,0,0,0,0,0
1912-05-06 19:00,Iceland,64.0,-20.0,0.0,7.0 Ms,,0,0,1,0,0
1912-05-23 02:24,Burma,21.0,97.0,0.0,7.7 Mw,,0,0,0,0,0
1912-08-09 01:29,Turkey (see 1912 Mürefte earthquake),40.5,27.0,0.0,7.6 Mw,,0,0,2836,923,0
1912-11-19 13:55,Mexico,19.83,-99.92,15.0,6.7 Ms,,0,0,0,0,164
1913-03-14 08:45,Indonesia,4.5,126.5,0.0,7.9 Mw,T,0,0,0,0,0
1913-06-14 09:33,Bulgaria,43.5,25.5,0.0,6.8 Muk,,0,0,500,0,0
1913-08-06 22:14,Peru,-17.0,-74.0,0.0,7.8 Mw,T,0,0,0,0,0
1913-11-04 21:33,Peru,-14.2,-72.9,10.0,6.3 Muk,,0,0,150,0,0
1913-12-21 15:37,China,24.5,102.0,0.0,7.2 Mw,,0,0,1314,0,0
1914-01-12 09:28,Japan,31.6,130.6,5.0,6.7 Ms,T,0,0,35,0,0
1914-03-14 20:00,Japan,39.5,140.4,5.0,7.0 Ms,,0,0,94,0,0
1914-05-08 18:01,Italy,37.7,15.2,,4.9 Muk,,0,0,69,0,0
1914-05-26 14:22,Indonesia,-2.0,137.0,0.0,7.9 Mw,T,0,0,0,0,0
1914-06-25 19:07,Indonesia,-4.5,102.5,0.0,7.6 Mw,,0,0,0,20,0
1914-08-04 22:41,China,43.5,91.5,0.0,7.2 Mw,,0,0,0,0,0
1914-10-03 22:06,Turkey (see 1914 Burdur earthquake),37.5,32.5,0.0,7.1 Mw,,0,0,4000,0,0
1915-01-13 06:52,Italy (see 1915 Avezzano earthquake),42.0,13.5,0.0,6.9 Ms,,0,0,32610,29980,0
1915-03-17 18:45,Japan,42.1,143.6,35.0,7.2 mb,,0,0,2,0,0
1915-06-23 04:56,United States,32.8,-115.5,,6.2 Muk,,0,0,6,0,0
1915-09-07 01:20,El Salvador,14.0,-89.0,80.0,7.4 mb,,0,0,7,0,0
1915-12-03 02:39,China,29.5,91.5,0.0,7.0 Ms,,0,0,170,0,0
1916-08-28 07:27,Taiwan (see 1916–17 Nantou earthquakes),23.9,120.5,5.0,7.2 MJMA,,0,0,16,0,0
1916-11-14 22:31,Taiwan (see 1916–17 Nantou earthquakes),24.0,121.0,,6.0 Muk,,0,0,1,0,0
1917-01-04 16:55,Taiwan (see 1916–17 Nantou earthquakes,21.9,120.9,0.0,6.5 Ms,,0,0,54,0,0
1917-01-21 23:11,Indonesia (see 1917 Bali earthquake),-7.0,116.0,,6.6 Muk,T,0,0,15000,0,0
1917-01-24 00:48,China,31.0,114.0,0.0,6.5 Ms,,0,0,0,0,0
1917-01-31 03:39,Philippines,6.0,125.0,,6.4 Muk,,0,0,7,0,0
1917-07-30 23:54,China,29.0,104.0,0.0,7.3 Mw,,0,0,1879,1800,0
1917-08-31 11:36,Colombia,4.0,-74.0,0.0,7.1 Ms,,0,0,0,0,0
1918-02-13 06:07,China (see 1918 Shantou earthquake),23.54,117.243,15.0,7.2 Mw,,0,0,0,10000,0
1918-04-21 22:32,United States,33.812,-117.44,15.0,6.8 Muk,,0,0,1,0,0
1918-08-15 12:18,Philippines,5.653,123.563,35.0,8.2 Mw,,0,0,0,100,0
1918-09-07 17:15,Russian Federation,46.812,150.253,242.4,7.6 mb,T,0,0,24,0,0
1918-10-11 14:14,Puerto Rico (see 1918 San Fermín earthquake),18.473,-67.631,35.0,7.3 Mw,T,0,0,116,116,0
1919-05-06 19:40,Papua New Guinea,-5.477,152.629,232.8,7.6 mb,T,0,0,0,0,0
1920-06-05 04:21,Taiwan,23.813,122.08,35.0,7.9 Mw,,0,0,5,0,0
1920-01-04 04:22,Mexico,19.27,-97.08,15.0,6.2 Ms,L,0,0,0,0,1500
1920-02-20 11:45,Georgia (see 1920 Gori earthquake),42.0,44.1,11.0,6.2 Muk,,0,0,130,0,0
1920-09-07 05:55,Italy,44.3,10.3,10.0,5.8 Muk,,0,0,171,0,0
1920-12-16 12:05,China (see 1920 Haiyuan earthquake),36.601,105.317,25.0,8.6 Ms,,0,0,235502,180000,0
1920-12-17 18:59,Argentina (see 1920 Mendoza earthquake),-32.7,-68.4,10.0,6.0 Muk,,0,0,400,0,0
1921-08-14,Eritrea (see 1921 Massawa earthquake),15.61,39.445,,,,0,0,0,0,0
1921-11-11 18:36,Philippines,7.897,127.257,35.0,7.3 Mw,,0,0,600,0,0
1922-04-26 01:11,Japan,35.2,139.8,35.0,6.8 MJMA,,0,0,2,0,0
1922-09-01 19:16,Taiwan,24.506,122.04,35.0,7.5 Mw,,0,0,5,0,0
1922-10-14 23:45,Taiwan,24.5,122.0,35.0,6.9 MJMA,,0,0,6,0,0
1922-11-11 04:32,Chile (see 1922 Vallenar earthquake),-28.553,-70.755,35.0,8.7 Mw,T,0,0,1000,1000,0
1922-12-07 16:50,Japan,32.7,130.1,5.0,6.9 MJMA,,0,0,26,0,0
1922-12-08 02:02,Japan,32.7,130.1,5.0,6.5 MJMA,,0,0,0,0,0
1923-02-03 16:01,Russian Federation,53.853,160.761,35.0,8.5 Mw,T,0,0,0,0,0
1923-03-24 12:40,China,30.553,101.258,25.0,7.2 Mw,,0,0,450,5000,0
1923-04-13 15:31,Russian Federation,55.415,162.585,35.0,7.1 Mw,T,0,0,18,0,0
1923-05-25 22:21,Iran,35.2,59.2,,5.7 Muk,,0,0,2219,0,0
1923-09-01 02:58,Japan (see 1923 Great Kantō earthquake),35.405,139.084,35.0,7.9 Muk,"T,F",0,0,142807,143000,105000
1923-09-09 22:03,Bangladesh,24.943,90.32,35.0,7.1 Ms,,0,0,50,0,0
1923-09-17 07:09,Iran,37.2,57.7,,6.4 Muk,,0,0,157,0,0
1923-09-22 20:47,Iran,29.12,56.928,35.0,6.9 Muk,,0,0,290,0,0
1923-12-14 10:31,Colombia,1.0,-77.5,,5.3 Muk,,0,0,300,0,0
1924-01-14 20:50,Japan,35.5,139.2,5.0,7.3 MJMA,,0,0,19,0,0
1924-03-03 08:01,Ecuador,-1.6,-78.6,,6.9 Muk,,0,0,40,0,0
1924-04-14 16:20,Philippines (Mindanao),7.023,125.954,33.0,8.3,,0,0,0,0,0
1924-07-03 04:40,China,36.632,83.903,35.0,7.1 Mw,,0,0,255,0,0
1924-07-12 15:12,Kyrgyzstan,40.565,73.397,25.0,6.8 Muk,,0,0,41,0,0
1924-09-13 14:34,Turkey (see 1924 Pasinler earthquake),39.864,41.876,35.0,6.8 Muk,,0,0,30,0,0
1925-03-16 14:42,China (see 1925 Dali earthquake),25.688,100.494,25.0,7.0 Ms,,0,0,5808,5000,0
1925-05-23 02:09,Japan,35.6,134.8,5.0,6.8 Muk,F,0,0,428,0,0
1925-06-29 14:42,United States,34.5,-119.6,,6.2 Muk,,0,0,13,0,0
1925-12-14 00:00,Iran,34.6,58.1,,5.5 Muk,,0,0,500,0,0
1925-12-18 05:53,Iran,28.5,51.2,,5.5 Muk,,0,0,2,0,0
1926-03-18 14:06,Turkey,35.787,29.246,35.0,6.9 Muk,,0,0,0,0,0
1926-06-26 19:46,Greece,36.605,26.888,101.8,7.7 mb,,0,0,110,0,0
1926-06-28 03:23,Indonesia,-0.051,101.522,35.0,6.8 Muk,,0,0,222,0,0
1926-10-22 19:59,Turkey (see 1926 Kars earthquake),40.7,43.7,7.0,5.7 Muk,,0,0,370,0,0
1926-11-05 07:55,Nicaragua,12.67,-86.736,35.0,7.1 mb,,0,0,0,0,0
1927-03-07 09:27,Japan,35.802,134.924,9.6,7.6 Ms,"T,F",0,0,2925,2925,0
1927-03-20 00:00,China,24.1,102.0,,5.0 Muk,,0,0,7,0,0
1927-04-14 06:23,Argentina,-32.477,-69.675,35.0,7.2 mb,,0,0,8,0,0
1927-05-22 22:32,China (see 1927 Gulang earthquake),37.386,102.311,25.0,7.9 Ms,,0,0,80000,200000,0
1927-07-11 13:04,Mandatory Palestine and Transjordan (see 1927 Jericho earthquake),32.0,35.5,33.0,6.3 Muk,,0,0,361,0,0
