city,latitude,longitude,country,population
Rizhao,35.4275,119.455278,China,865000.0
Jiaozuo,35.239722,113.233056,China,857000.0
Zhenjiang,32.210863,119.455076,China,854000.0
Anshun,26.25,105.933333,China,849000.0
Zunyi,27.686667,106.90722199999999,China,849000.0
Jingshan,33.699317,113.321308,China,849000.0
Yuci,37.680278,112.731944,China,840000.0
Yuanzhuang,33.417761,120.103747,China,839000.0
Linfen,36.088889,111.51888899999999,China,834000.0
Heiyutang,29.342354999999998,113.075988,China,826000.0
Xingyi,25.05,104.983333,China,816000.0
Langfang,39.509722,116.694722,China,810000.0
Wuhubei,31.35,118.33333300000001,China,810000.0
Shuibatang,27.3292,103.74700000000001,China,809000.0
Lingyuan,41.24,119.40111100000001,China,806000.0
Baojishi,34.372458,107.16449899999999,China,800000.0
Yingkou,40.664823,122.228329,China,795000.0
Liaoyang,41.271944,123.173056,China,794000.0
Yichun,47.724635,128.82388500000002,China,777000.0
Shaoxing,30.011019,120.571528,China,777000.0
Fuyuan,30.016672999999997,119.94824799999999,China,771000.0
Fuxin,42.058889,121.745,China,770000.0
Shiyanjie,32.6,110.75,China,770000.0
Jincheng,35.502221999999996,112.832778,China,760000.0
Hegang,47.351176,130.30011499999998,China,743307.0
Beihai,21.483333,109.1,China,728978.0
Shaoguan,24.8,113.58333300000001,China,720266.0
Hanzhuang,34.586132,119.230194,China,715600.0
Qingyuan,23.7,113.03333300000001,China,706717.0
Changzhi,36.183889,113.105278,China,706000.0
Huangshi,30.204172999999997,115.077607,China,688090.0
Huadong,35.6967,114.984,China,666322.0
Changping,40.216116,116.23470800000001,China,614821.0
Taizhou,32.49069,119.908119,China,612356.0
Xingtai,37.063056,114.49416699999999,China,611739.0
Anqing,30.513646,117.047234,China,580497.0
Shihezi,44.302298,86.036938,China,573182.0
Shuozhou,39.315833000000005,112.4225,China,570000.0
Tongling,30.933333,117.816667,China,562832.0
Weihai,37.509136,122.113557,China,560255.0
Siping,43.163333,124.36861100000002,China,555609.0
Sunjialong,29.697889,115.991215,China,545616.0
Kashgar,39.470655,75.989513,China,543914.0
Yangzhou,32.397222,119.435833,China,539715.0
Jiangmen,22.583333,113.08333300000001,China,532419.0
Cangzhou,38.316666999999995,116.86666699999999,China,527681.0
Jiangxia,27.15415,114.97657199999999,China,520248.0
Shashi,30.307221999999996,112.244722,China,520000.0
Liaoyuan,42.903611,125.135833,China,506548.0
Shuangyashan,46.636111,131.153889,China,500000.0
Wuwei,37.926718,102.632018,China,493092.0
Yanji,42.9075,129.507778,China,488740.0
Zhaoqing,23.051157,112.459722,China,480000.0
Jiaojiang,28.680278,121.442778,China,471500.0
Chaoyang,41.570278,120.458611,China,470296.0
Jingdezhen,29.2947,117.20788700000001,China,457298.0
Hengshui,37.732222,115.70111100000001,China,456356.0
Taihe,45.761951,130.85130700000002,China,450617.0
Chengde,40.9725,117.93611100000001,China,449325.0
Xuwan,34.033597,113.865298,China,449258.0
Wuzhou,23.483333,111.316667,China,442315.0
Wanyuan,32.4188,105.863,China,437435.0
Chaozhou,23.665129,116.637864,China,424787.0
Luohe,33.563941,114.042717,China,417356.0
Meizhou,24.297687,116.10724099999999,China,414930.0
Yili,43.9,81.35,China,403489.0
Yuxi,24.355,102.542222,China,396325.0
Baicheng,45.607457000000004,122.82076299999999,China,386861.0
Xichang,27.896421999999998,102.26341500000001,China,379993.0
Dezhou,37.451269,116.31046200000002,China,379555.0
Zhoukou,33.633333,114.63333300000001,China,377061.0
Putian,25.439444,119.010278,China,376558.0
Shache,38.416667,77.24055600000001,China,373492.0
Quzhou,28.959444,118.86861100000002,China,370000.0
Longyan,25.107222,117.0225,China,367896.0
Sanya,18.243056,109.505,China,362689.0
Fuyu,45.183333000000005,124.816667,China,356905.0
Wafangdian,39.618333,122.00805600000001,China,355844.0
Aksu,41.271958000000005,80.240853,China,340020.0
Tieling,42.293056,123.84138899999999,China,340000.0
Shawan,30.006,103.021,China,340000.0
Hanguzhan,39.266667,117.8,China,332793.0
Heyuan,23.733333,114.683333,China,330961.0
Baishan,41.938526,126.419651,China,330000.0
Chenzhou,25.8,113.03333300000001,China,322997.0
Ningde,26.661666999999998,119.522778,China,314077.0
Huizhou,23.083333,114.4,China,289201.0
Tongchuanshi,35.074739,109.084953,China,282258.0
Jining,41.0275,113.105833,China,281716.0
Xinzhou,38.409167,112.733333,China,279607.0
Jinshi,29.604870000000002,111.870116,China,274000.0
Hotan,37.107496999999995,79.935485,China,261730.0
Zhuanghe,39.700833,122.991111,China,261510.0
Turpan,42.947694,89.178862,China,254900.0
Chuxiong,25.036389,101.545556,China,254370.0
Suihua,46.639536,126.99508200000001,China,252245.0
Linhai,28.848146999999997,121.128073,China,251759.0
Laiyang,36.975833,120.71361100000001,China,250000.0
Qinzhou,21.972965,108.62612299999999,China,245376.0
Hebi,35.899167,114.1925,China,244662.0
Ulanhot,46.083333,122.08333300000001,China,241894.0
Xiahuang,28.025440000000003,116.36359099999999,China,241104.0
Shayinshi,29.704411,112.439849,China,231787.0
Zhangye,38.934166999999995,100.451667,China,230728.0
Beipiao,41.791944,120.77916699999999,China,228515.0
Qiantucheng,36.423265,115.99728999999999,China,226930.0
Hancheng,35.460278,110.42916699999999,China,222135.0
Lhasa,29.65,91.1,China,219599.0
Wuhai,39.684422,106.815825,China,218427.0
Nanping,26.645,118.17361100000001,China,213054.0
Sanming,26.248611,117.61861100000002,China,209444.0
