"accident_number","date_and_time","number_of_motor_vehicles","number_of_injuries","number_of_fatalities","property_damage","hit_and_run","reporting_officer","collision_type","collision_type_description","weather","weather_description","illuaccidemination","illumination_description","harmfulcodes","harmfuldescriptions","street_address","city","state","zip","rpa","precinct","lat","long","mapped_location"
"VU 130097461","2013-08-13T00:00:00.000","2","0","0",,"true","494","3",,"1","NO ADVERSE CONDITIONS","1","DAYLIGHT","12;14","MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE","POWELL AVE","NASHVILLE","TN","37204","8525","MIDTOW","36.1099","-86.7644","POINT (-86.7644 36.1099)"
"20400639785","2014-07-06T12:45:00.000","2.0000","0.0000","0.0000",,"false","473187","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 93 0 I65 N","MADISON","TN","37115","17040","MADISO","0.0000","0.0000","POINT (0 0)"
"20200648636","2020-10-13T21:40:00.000","2","0","0",,"false","887603","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","DICKERSON PKE & E TRINITY LN","NASHVILLE","TN","37207","1861","EAST","36.2055","-86.7684","POINT (-86.7684 36.2055)"
"20200648585","2020-10-13T20:50:00.000","1","1","0",,"false","212343","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","8","PEDESTRIAN","I40 W ENT RAMP & I 40","NASHVILLE","TN","37210","9007","HERMIT","36.1484","-86.7454","POINT (-86.7454 36.1484)"
"20200648556","2020-10-13T20:25:00.000","1","1","0",,"false","299243","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"2","DARK - NOT LIGHTED","30","UTILITY POLE","OLD HICKORY BLVD & OVERTON ST","OLD HICKORY","TN","37138","9711","HERMIT","36.2498","-86.6443","POINT (-86.6443 36.2498)"
"20200648531","2020-10-13T20:00:00.000","2","0","0",,"false","352186","16","Rear to Side","21","CLEAR","3","DARK - LIGHTED","14","PARKED MOTOR VEHICLE","LINBAR DR & MARGO LN","NASHVILLE","TN","37211","8707","SOUTH","36.0803","-86.6978","POINT (-86.6978 36.0803)"
"20200648526","2020-10-13T20:04:00.000","1","1","0",,"false","320603","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","8","PEDESTRIAN","OLD HICKORY BLVD & NOLENSVILLE PKE","ANTIOCH","TN","37013","8757","SOUTH","36.0455","-86.7122","POINT (-86.7122 36.0455)"
"20200648479","2020-10-13T19:32:00.000","2","3","0",,"false","240985","98","OTHER",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","EDMONDSON PKE & DERBY TRC","NASHVILLE","TN","37211","8653","MIDTOW","36.0442","-86.7441","POINT (-86.7441 36.0442)"
"20200648449","2020-10-13T19:08:00.000","3","2","0",,"false","179583","11","Front to Rear",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","GALLATIN PKES & GALLATIN PKE","MADISON","TN","37115","1517","MADISO","36.2383","-86.724","POINT (-86.724 36.2383)"
"20200648435","2020-10-13T17:52:00.000","2","0","0",,"false","4001097","6","SIDESWIPE - OPPOSITE DIRECTION",,,"7","Dark-Unknown Lighting","12","MOTOR VEHICLE IN TRANSPORT","TROUSDALE DR & TIMBERHILL DR","NASHVILLE","TN","37204","8533","MIDTOW","36.083","-86.7578","POINT (-86.7578 36.083)"
"20200648409","2020-10-13T18:35:00.000","1","1","0",,"false","4001079","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","21","CLEAR","3","DARK - LIGHTED","50","DEER (ANIMAL)","MM 40 6 I 24","WHITES CREEK","TN","37189","3226","NORTH","36.276","-86.7989","POINT (-86.7989 36.276)"
"20200648356","2020-10-13T18:09:00.000","2","0","0",,"false","151132","11","Front to Rear",,,"5","DUSK","12","MOTOR VEHICLE IN TRANSPORT","MM 94 2 I 65","GOODLETTSVILLE","TN","37072","17061","MADISO","36.2904","-86.723","POINT (-86.723 36.2904)"
"20200648353","2020-10-13T16:33:00.000","2","0","0",,"false","179606","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","NOLENSVILLE PKE & CRAIGHEAD ST","NASHVILLE","TN","37210","8125","SOUTH","36.1338","-86.7588","POINT (-86.7588 36.1338)"
"20200648310","2020-10-13T16:30:00.000","2","0","0",,"false","311340","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","JEFFERSON ST & I40 E EXT RAMP","NASHVILLE","TN","37208","5321","NORTH","36.1686","-86.8132","POINT (-86.8132 36.1686)"
"20200648292","2020-10-13T17:18:00.000","2","1","0",,"false","279112","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","WEST END AV & LEONARD AV","NASHVILLE","TN","37205","6009","WEST","36.1329","-86.8298","POINT (-86.8298 36.1329)"
"20200648280","2020-10-13T17:02:00.000","2","0","0",,"false","320601","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ELM HILL PKE & DONELSON PKE","NASHVILLE","TN","37214","9411","HERMIT","36.1485","-86.6651","POINT (-86.6651 36.1485)"
"20200648243","2020-10-13T16:58:00.000","2","1","0",,"false","352209","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 49 2 I 24","NASHVILLE","TN","37213","1002","CENTRA","36.1637","-86.7625","POINT (-86.7625 36.1637)"
"20200648242","2020-10-13T16:57:00.000","5","3","0",,"false","330428","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 7 5 I 440","NASHVILLE","TN","37210","81022","SOUTH","36.1264","-86.7287","POINT (-86.7287 36.1264)"
"20200648197","2020-10-13T16:24:00.000","2","0","0",,"false","298877","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","WEDGEWOOD AV & 8TH AVS","NASHVILLE","TN","37204","6919","MIDTOW","36.1343","-86.7796","POINT (-86.7796 36.1343)"
"20200648162","2020-10-13T15:56:00.000","2","0","0",,"false","330428","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MURFREESBORO PKE & MCGAVOCK PKE","NASHVILLE","TN","37217","8841","SOUTH","36.1129","-86.689","POINT (-86.689 36.1129)"
"20200648112","2020-10-13T15:42:00.000","3","0","0",,"false","409181","4","ANGLE","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 214 5 I 40","NASHVILLE","TN","37217","88022","HERMIT","36.1434","-86.7031","POINT (-86.7031 36.1434)"
"20200648063","2020-10-13T15:04:00.000","2","0","0",,"false","390077","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","SHARPE AV & N 14TH ST","NASHVILLE","TN","37206","1319","EAST","36.1886","-86.7439","POINT (-86.7439 36.1886)"
"20200648015","2020-10-13T14:19:00.000","2","0","0",,"false","179606","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","I65 S ENT RAMP & I 40","NASHVILLE","TN","37203","4006","CENTRA","36.1491","-86.7753","POINT (-86.7753 36.1491)"
"20200648014","2020-10-13T13:05:00.000","1","0","0","true","false","352172","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"1","DAYLIGHT","42","TREE","SAWYER BROWN RD & RIVER PLANTATION PVTDR","NASHVILLE","TN","37221","4811","WEST","36.07","-86.9481","POINT (-86.9481 36.07)"
"20200648013","2020-10-13T14:57:00.000","2","0","0",,"false","320585","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"1","DAYLIGHT","18","OTHER OBJECT (NOT FIXED)","MM 211 4 I 40","NASHVILLE","TN","37210","8204","HERMIT","36.1517","-86.7525","POINT (-86.7525 36.1517)"
"20200647901","2020-10-13T11:34:00.000","2","0","0",,"false","161946","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 60 4 I 24","ANTIOCH","TN","37013","88060","SOUTH","36.0364","-86.6449","POINT (-86.6449 36.0364)"
"20200647885","2020-10-13T13:16:00.000","2","0","0",,"false","4001146","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","CHARLOTTE PKE & MIDLAND AV","NASHVILLE","TN","37209","5033","WEST","36.1499","-86.8591","POINT (-86.8591 36.1499)"
"20200647858","2020-10-13T13:06:00.000","2","0","0",,"false","620072","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","CHURCH ST & 19TH AVN","NASHVILLE","TN","37203","5525","MIDTOW","36.1542","-86.7992","POINT (-86.7992 36.1542)"
"20200647842","2020-10-13T13:00:00.000","2","2","0",,"false","226622","4","ANGLE","21","CLEAR","1","DAYLIGHT","1;12","MOTOR VEHICLE IN TRANSPORT","I40 W EXT RAMP & I 40","NASHVILLE","TN","37203","4119","CENTRA","36.1574","-86.79","POINT (-86.79 36.1574)"
"20200647837","2020-10-13T12:35:00.000","1","0","0","true","false","401451","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","21","CLEAR","1","DAYLIGHT","18;34;40","OTHER OBJECT (NOT FIXED);DITCH;MAIL BOX","HARDING PKE & WESTMINSTER PL","NASHVILLE","TN","37205","4913","WEST","36.0959","-86.8787","POINT (-86.8787 36.0959)"
"20200647761","2020-10-13T11:52:00.000","2","1","0",,"false","4001143","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","3RD AVN & JEFFERSON ST","NASHVILLE","TN","37201","4233","CENTRA","36.175","-86.7847","POINT (-86.7847 36.175)"
"20200647659","2020-10-13T10:41:00.000","3","0","0",,"false","161946","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","BURKITT RD & WHITTEMORE LN","NOLENSVILLE","TN","37135","8773","SOUTH","35.9919","-86.6548","POINT (-86.6548 35.9919)"
"20200647636","2020-10-13T10:20:00.000","2","0","0",,"true","226092","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","14TH AVN & CHARLOTTE AV","NASHVILLE","TN","37203","5501","MIDTOW","36.1608","-86.7937","POINT (-86.7937 36.1608)"
"20200647562","2020-10-13T09:32:00.000","1","1","0",,"true","401451","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","21","CLEAR","1","DAYLIGHT","8","PEDESTRIAN","CHARLOTTE PKE & CABOT DR","NASHVILLE","TN","37209","4677","WEST","36.2336","-86.7283","POINT (-86.7283 36.2336)"
"20200647559","2020-10-13T07:38:00.000","2","0","0",,"false","4001087","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","BLAIR BLVD & 21ST AVS","NASHVILLE","TN","37212","5909","MIDTOW","36.1303","-86.802","POINT (-86.802 36.1303)"
"20200647551","2020-10-13T07:42:00.000","2","4","0",,"false","140790","6","SIDESWIPE - OPPOSITE DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ROLLING MILL RD & RISING SUN LN","OLD HICKORY","TN","37138","9713","HERMIT","36.2366","-86.6171","POINT (-86.6171 36.2366)"
"20200647470","2020-10-13T08:19:00.000","2","0","0",,"false","226622","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 211 7 I 40","NASHVILLE","TN","37210","82042","HERMIT","36.1499","-86.7483","POINT (-86.7483 36.1499)"
"20200647453","2020-10-13T08:20:00.000","2","0","0",,"false","161946","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ELM HILL PKE & BRILEY PKWY S EXT RAMP","NASHVILLE","TN","37210","9041","HERMIT","36.1512","-86.6918","POINT (-86.6918 36.1512)"
"20200647447","2020-10-13T08:05:00.000","2","0","0",,"false","224464","3","REAR-TO-REAR","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 213 5 I 40","NASHVILLE","TN","37210","90062","HERMIT","36.1406","-86.7215","POINT (-86.7215 36.1406)"
"20200647384","2020-10-13T07:22:00.000","3","1","0",,"false","876573","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ZELIDA AV & BELL RD","ANTIOCH","TN","37013","8865","SOUTH","36.0549","-86.6425","POINT (-86.6425 36.0549)"
"20200647366","2020-10-13T03:54:00.000","1","0","0","true","false","279230","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","21","CLEAR","2","DARK - NOT LIGHTED","38","FENCE","212 RADER DR","NASHVILLE","TN","37211","8851","SOUTH","36.074","-86.6886","POINT (-86.6886 36.074)"
"20200647334","2020-10-13T06:25:00.000","2","0","0",,"false","206964","11","Front to Rear",,,"4","DAWN","12","MOTOR VEHICLE IN TRANSPORT","MM 86 6 I 65","NASHVILLE","TN","37207","3002","NORTH","36.1959","-86.7761","POINT (-86.7761 36.1959)"
"20200647331","2020-10-13T06:20:00.000","2","0","0",,"false","551975","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 40 3 I 24","WHITES CREEK","TN","37189","2210","MADISO","36.2798","-86.8023","POINT (-86.8023 36.2798)"
"20200647329","2020-10-13T06:47:00.000","2","0","0",,"false","109527","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 213 4 I 40","NASHVILLE","TN","37217","8818","HERMIT","36.1399","-86.7253","POINT (-86.7253 36.1399)"
"20200647141","2020-10-13T00:00:00.000","1","1","0",,"false","279216","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","42","TREE","YOUNGS LN & FREE SILVER RD","NASHVILLE","TN","37207","3011","NORTH","36.2046","-86.7978","POINT (-86.7978 36.2046)"
"20200646905","2020-10-12T21:50:00.000","1","0","0","true","true","279210","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","40;63","MAIL BOX;Ran Off Road-Right","E WEBSTER ST & E PALESTINE AV","MADISON","TN","37115","1507","MADISO","36.2496","-86.7132","POINT (-86.7132 36.2496)"
"20200646625","2020-10-12T20:50:00.000","2","0","0",,"true","256386","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","OLD HICKORY BLVD & EDMONDSON PKE","NASHVILLE","TN","37220","8615","MIDTOW","36.04","-86.7435","POINT (-86.7435 36.04)"
"20200646589","2020-10-12T18:20:00.000","2","0","0",,"false","320582","5","SIDESWIPE - SAME DIRECTION",,,"5","DUSK","12;63","MOTOR VEHICLE IN TRANSPORT;Ran Off Road-Right","MM 88 5 I 65","NASHVILLE","TN","37207","30040","NORTH","36.2237","-86.7746","POINT (-86.7746 36.2237)"
"20200646549","2020-10-12T20:05:00.000","2","0","0",,"true","212322","98","OTHER",,,"3","DARK - LIGHTED","14","PARKED MOTOR VEHICLE","ANTIOCH PKE & CHEROKEE PL","ANTIOCH","TN","37013","8899","SOUTH","36.0804","-86.6857","POINT (-86.6857 36.0804)"
"20200646529","2020-10-12T19:31:00.000","2","0","0",,"false","409192","4","ANGLE","21","CLEAR","3","DARK - LIGHTED","13","MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY","WOODMONT BLVD & WHITE BRIDGE PKE","NASHVILLE","TN","37205","6101","WEST","36.1248","-86.8475","POINT (-86.8475 36.1248)"
"20200646522","2020-10-12T19:49:00.000","1","1","0",,"false","320603","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","1",,"MOUNTAINHIGH DR & CANE RIDGE RD","ANTIOCH","TN","37013","8753","SOUTH","36.0375","-86.6609","POINT (-86.6609 36.0375)"
"20200646496","2020-10-12T19:03:00.000","2","0","0",,"false","429193","4","ANGLE","2","RAIN","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","OLD HICKORY BLVD & CHARLOTTE PK","NASHVILLE","TN","37209","4701","WEST","36.1167","-86.9232","POINT (-86.9232 36.1167)"
"20200646473","2020-10-12T19:12:00.000","2","0","0",,"true","909486","5","SIDESWIPE - SAME DIRECTION",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 74 9 I 65","NASHVILLE","TN","37220","71040","MIDTOW","36.0438","-86.7814","POINT (-86.7814 36.0438)"
"20200646444","2020-10-12T19:00:00.000","1","0","0",,"false","179606","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","33","CURB","4TH AVS & I40 E EXT RAMP","NASHVILLE","TN","37210","8153","SOUTH","36.1505","-86.7704","POINT (-86.7704 36.1505)"
"20200646413","2020-10-12T18:33:00.000","1","1","0","true","false","151132","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"2","DARK - NOT LIGHTED","32;34;63","CULVERT;DITCH;Ran Off Road-Right","OLD SPRINGFIELD PKE & LICKTON PKE","GOODLETTSVILLE","TN","37072","2127","MADISO","36.3465","-86.7268","POINT (-86.7268 36.3465)"
"20200646408","2020-10-12T18:00:00.000","2","0","0",,"true","4000500","5","SIDESWIPE - SAME DIRECTION",,,"2","DARK - NOT LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 193 7 I 40","NASHVILLE","TN","37221","4704","WEST","36.0779","-86.9978","POINT (-86.9978 36.0779)"
"20200646384","2020-10-12T18:10:00.000","2","1","0",,"true","4000339","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","E OLD HICKORY BLVD & FOREST PARK RD","MADISON","TN","37115","1627","MADISO","36.2629","-86.7034","POINT (-86.7034 36.2629)"
"20200646372","2020-10-12T00:00:00.000","2","0","0",,"true","279200","11","Front to Rear","22","CLOUDY","5","DUSK","12","MOTOR VEHICLE IN TRANSPORT","MM 48 0 I 24","NASHVILLE","TN","37213","1908","CENTRA","36.1759","-86.7721","POINT (-86.7721 36.1759)"
"20200646371","2020-10-12T00:00:00.000","1","1","0",,"false","197070","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"1","DAYLIGHT","42","TREE","HIGDON RD & LITTLE MARROWBONE RD","ASHLAND CITY","TN","37015","3323","NORTH","36.2646","-86.9561","POINT (-86.9561 36.2646)"
"20200646284","2020-10-12T17:14:00.000","2","0","0",,"false","311337","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 208 9 I 40","NASHVILLE","TN","37203","4102","CENTRA","36.1587","-86.7915","POINT (-86.7915 36.1587)"
"20200646249","2020-10-12T16:57:00.000","2","0","0",,"false","409215","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","N 1ST ST & MAIN ST","NASHVILLE","TN","37213","1991","CENTRA","36.1703","-86.7729","POINT (-86.7729 36.1703)"
"20200646237","2020-10-12T16:49:00.000","2","0","0",,"false","384425","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 84 4 I 65","NASHVILLE","TN","37208","54021","NORTH","36.1715","-86.7991","POINT (-86.7991 36.1715)"
"20200646204","2020-10-12T16:24:00.000","2","0","0",,"false","197070","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","I24 W EXT RAMP & I 24","NASHVILLE","TN","37211","8829","SOUTH","36.1074","-86.7197","POINT (-86.7197 36.1074)"
"20200646180","2020-10-12T15:51:00.000","2","1","0",,"false","330431","5","SIDESWIPE - SAME DIRECTION","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 210 5 I 40","NASHVILLE","TN","37210","8202","HERMIT","36.1522","-86.7669","POINT (-86.7669 36.1522)"
"20200646161","2020-10-12T14:43:00.000","2","0","0",,"false","887603","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 48 2 I 24","NASHVILLE","TN","37207","1106","EAST","36.1729","-86.7693","POINT (-86.7693 36.1729)"
"20200646126","2020-10-12T15:00:00.000","2","1","0",,"false","4001079","5","SIDESWIPE - SAME DIRECTION","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","CONFERENCE DR & VIETNAM VETERANS BLVD SB","GOODLETTSVILLE","TN","37072","1723","MADISO","36.3098","-86.6958","POINT (-86.6958 36.3098)"
"20200646086","2020-10-12T15:20:00.000","2","0","0",,"false","676832","11","Front to Rear","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 215 0 I 40","NASHVILLE","TN","37214","91021","HERMIT","36.1444","-86.6948","POINT (-86.6948 36.1444)"
"20200646048","2020-10-12T15:00:00.000","2","0","0",,"false","352168","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 59 2 I 24","ANTIOCH","TN","37013","87061","SOUTH","36.0467","-86.6614","POINT (-86.6614 36.0467)"
"20200646030","2020-10-12T14:49:00.000","2","0","0",,"true","311325","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","US HWY 431 & GRAND AVE","NASHVILLE","TN","37212","6709","MIDTOW","36.1472","-86.7994","POINT (-86.7994 36.1472)"
"20200646023","2020-10-12T13:40:00.000","2","0","0",,"false","409185","3","REAR-TO-REAR",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","UTOPIA AV & EDISON ST","NASHVILLE","TN","37211","8057","MIDTOW","36.1268","-86.7565","POINT (-86.7565 36.1268)"
"20200646018","2020-10-12T14:00:00.000","2","0","0",,"true","4001081","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 52 1 I 24","NASHVILLE","TN","37217","8816","SOUTH","36.1343","-86.7267","POINT (-86.7267 36.1343)"
"20200646012","2020-10-12T13:27:00.000","2","0","0",,"false","409154","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ORDWAY PL & N 12TH ST","NASHVILLE","TN","37206","1211","EAST","36.1805","-86.748","POINT (-86.748 36.1805)"
"20200645979","2020-10-12T14:12:00.000","3","2","0",,"false","298860","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","I40 E EXT RAMP & I 40","NASHVILLE","TN","37214","8955","HERMIT","36.155","-86.6271","POINT (-86.6271 36.155)"
"20200645954","2020-10-12T13:33:00.000","2","0","0",,"false","807341","4","ANGLE","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MAPLEWOOD TRC & W MAPLEWOOD LN","NASHVILLE","TN","37207","1807","EAST","36.2331","-86.7587","POINT (-86.7587 36.2331)"
"20200645933","2020-10-12T13:37:00.000","2","1","0",,"false","161946","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","NOLENSVILLE PKE & OLD HICKORY BLVD","NASHVILLE","TN","37211","8717","SOUTH","36.0454","-86.7133","POINT (-86.7133 36.0454)"
"20200645875","2020-10-12T00:00:00.000","2","0","0",,"true","226673","9","UNKNOWN",,,"1","DAYLIGHT","12;14","MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE","500 CHURCH ST","NASHVILLE","TN","37219","4141","CENTRA","36.1632","-86.7803","POINT (-86.7803 36.1632)"
"20200645874","2020-10-12T12:46:00.000","2","0","0",,"false","140790","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","OLD HICKORY BLVD & CENTRAL PKE","HERMITAGE","TN","37076","9529","HERMIT","36.1736","-86.6021","POINT (-86.6021 36.1736)"
"20200645851","2020-10-12T12:47:00.000","3","0","0",,"true","279230","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 57 0 I 24","NASHVILLE","TN","37211","8708","SOUTH","36.0695","-86.6897","POINT (-86.6897 36.0695)"
"20200645843","2020-10-12T12:44:00.000","2","1","0",,"false","343522","5","SIDESWIPE - SAME DIRECTION","22","CLOUDY","1","DAYLIGHT","12;36","MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER","I40 E ENT RAMP & I 24","NASHVILLE","TN","37217","8816","SOUTH","36.1363","-86.7267","POINT (-86.7267 36.1363)"
"20200645842","2020-10-12T13:00:00.000","2","0","0",,"false","4001100","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","LEA AV & 8TH AVS","NASHVILLE","TN","37203","4041","CENTRA","36.154","-86.7794","POINT (-86.7794 36.154)"
"20200645817","2020-10-12T12:32:00.000","2","0","0",,"false","161946","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","HAMILTON CHURCH RD & MURFREESBORO PKE","ANTIOCH","TN","37013","8865","SOUTH","36.0645","-86.6288","POINT (-86.6288 36.0645)"
"20200645781","2020-10-12T12:01:00.000","3","1","0",,"false","591933","4","ANGLE","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","DICKERSON PKE & LORRAINE AV","NASHVILLE","TN","37207","1827","EAST","36.2175","-86.7632","POINT (-86.7632 36.2175)"
"20200645749","2020-10-12T11:40:00.000","2","0","0",,"false","352197","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","GALLATIN PKEN & ROOSEVELT AV","MADISON","TN","37115","1761","MADISO","36.2717","-86.7103","POINT (-86.7103 36.2717)"
"20200645745","2020-10-12T11:37:00.000","2","0","0",,"false","140790","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ANDREW JACKSON PKWY & TYLER DR","HERMITAGE","TN","37076","9533","HERMIT","36.1974","-86.6086","POINT (-86.6086 36.1974)"
"20200645720","2020-10-12T11:22:00.000","2","1","0",,"false","226622","4","ANGLE","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","LOMBARDY AV & SHARONDALE DR","NASHVILLE","TN","37215","6419","MIDTOW","36.1207","-86.808","POINT (-86.808 36.1207)"
"20200645713","2020-10-12T10:35:00.000","2","0","0",,"false","384394","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 88 2 I 65","NASHVILLE","TN","37207","18041","EAST","36.2188","-86.7747","POINT (-86.7747 36.2188)"
"20200645692","2020-10-12T10:57:00.000","2","0","0",,"false","405447","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","OLD HICKORY BLVD & WILSON PIKE CIR","NASHVILLE","TN","37220","7111","MIDTOW","36.0375","-86.7858","POINT (-86.7858 36.0375)"
"20200645680","2020-10-12T10:51:00.000","2","0","0",,"false","140790","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","FRIST BLVD & OLD HICKORY BLVD","HERMITAGE","TN","37076","9561","HERMIT","36.1821","-86.6076","POINT (-86.6076 36.1821)"
