"accident_number","date_and_time","number_of_motor_vehicles","number_of_injuries","number_of_fatalities","property_damage","hit_and_run","reporting_officer","collision_type","collision_type_description","weather","weather_description","illuaccidemination","illumination_description","harmfulcodes","harmfuldescriptions","street_address","city","state","zip","rpa","precinct","lat","long","mapped_location"
"20200642033","2020-10-10T02:44:00.000","2","1","0",,"false","372814","11","Front to Rear","2","RAIN","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 210 6 I 40","NASHVILLE","TN","37210","8202","HERMIT","36.1526","-86.7659","POINT (-86.7659 36.1526)"
"20200642002","2020-10-10T02:17:00.000","2","0","0",,"false","409199","4","ANGLE","2","RAIN","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","I40 E ENT RAMP & I 40","NASHVILLE","TN","37205","4903","WEST","36.1109","-86.922","POINT (-86.922 36.1109)"
"20200641981","2020-10-10T01:56:00.000","1","0","0","true","false","352178","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","47","FIRE HYDRANT","DOUGLAS AV & GALLATIN AV","NASHVILLE","TN","37206","1325","EAST","36.1927","-86.7444","POINT (-86.7444 36.1927)"
"20200641952","2020-10-09T23:10:00.000","2","0","0",,"true","212334","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","KNIGHT DR & EWING DR","NASHVILLE","TN","37207","3023","NORTH","36.2316","-86.804","POINT (-86.804 36.2316)"
"20200641919","2020-10-10T00:50:00.000","2","1","0",,"false","352193","11","Front to Rear",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 211 7 I 40","NASHVILLE","TN","37210","82042","HERMIT","36.1499","-86.7483","POINT (-86.7483 36.1499)"
"20200641870","2020-10-10T00:10:00.000","2","0","0",,"false","279217","11","Front to Rear","2","RAIN","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 86 3 I 65","NASHVILLE","TN","37207","1910","CENTRA","36.1919","-86.7808","POINT (-86.7808 36.1919)"
"20200641807","2020-10-09T00:00:00.000","1","0","0",,"false","299247","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","24;63","GUARDRAIL FACE;Ran Off Road-Right","MM 211 0 I 40","NASHVILLE","TN","37210","82020","HERMIT","36.1544","-86.7598","POINT (-86.7598 36.1544)"
"20200641758","2020-10-09T20:51:00.000","2","0","0",,"false","4001284","6","SIDESWIPE - OPPOSITE DIRECTION","2","RAIN","3","DARK - LIGHTED","13","MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY","ANDERSON LN & MYATT DR","MADISON","TN","37115","1713","MADISO","36.2721","-86.689","POINT (-86.689 36.2721)"
"20200641744","2020-10-09T22:31:00.000","2","2","0",,"true","330420","2","HEAD-ON","21","CLEAR","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MURFREESBORO PKE & BELL RD","ANTIOCH","TN","37013","8979","SOUTH","36.072","-86.636","POINT (-86.636 36.072)"
"20200641702","2020-10-09T21:50:00.000","2","0","0",,"false","279217","2","HEAD-ON","2","RAIN","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","AMBONNAY DR & DOLCETTO GROVE","ANTIOCH","TN","37013","8767","SOUTH","36.0002","-86.6893","POINT (-86.6893 36.0002)"
